state,municipality,address,banner,posted,type,region,group,link
NY,Brooklyn,11110 Flatlands Ave,Food Bazaar Supermarket,1/17/2019,Snapshot,NYC,,https://www.marketreportblog.com/2019/01/snapshot-food-bazaar-east-new-york.html
NY,Brooklyn,1380 Pennsylvania Ave,City Fresh Market,1/18/2019,Tour,NYC,,https://www.marketreportblog.com/2019/01/tour-city-fresh-market-starrett-city.html
CT,New London,351 N Frontage Rd,ShopRite,1/21/2019,Tour,CONNECTICUT,,https://www.marketreportblog.com/2019/01/tour-shoprite-new-london-ct.html
NJ,Livingston,483 S Livingston Ave,ShopRite,1/22/2019,Tour,NORTHERN NJ,,https://www.marketreportblog.com/2019/01/tour-shoprite-livingston-nj.html
NJ,Belleville,726 Washington Ave,ShopRite,1/23/2019,Tour,NORTHERN NJ,,https://www.marketreportblog.com/2019/01/tour-shoprite-belleville-nj.html
NJ,Watchung,1701 US-22,ShopRite,1/24/2019,Tour,NORTHERN NJ,,https://www.marketreportblog.com/2019/01/tour-shoprite-watchung-nj.html
NJ,Oakland,14 Post Rd,ShopRite,1/25/2019,Snapshot,NORTHERN NJ,,https://www.marketreportblog.com/2021/01/tour-shoprite-oakland-nj.html
NJ,East Hanover,200 NJ-10,Kam Man Market,1/28/2019,Tour,NORTHERN NJ,,https://www.marketreportblog.com/2019/01/tour-kam-man-market-east-hanover-nj.html
NJ,Ridgefield,484 Bergen Blvd,Piccolo's Gastronomia Italiana,1/29/2019,Snapshot,NORTHERN NJ,,https://www.marketreportblog.com/2019/01/snapshot-piccolos-gastronomia-italiana.html
NJ,Parsippany,196 US-46,Dmart,1/30/2019,Snapshot,NORTHERN NJ,,https://www.marketreportblog.com/2019/01/snapshot-d-mart-parsippany-nj.html
NJ,Elizabeth,701 Marshall St,Casablanca Supermarket,1/31/2019,Snapshot,NORTHERN NJ,,https://www.marketreportblog.com/2019/01/snapshot-casablanca-supermarket.html
NY,Brooklyn,854 Manhattan Ave,Mr. B's,2/1/2019,Snapshot,NYC,,https://www.marketreportblog.com/2019/02/snapshot-mr-bs-biedronka-greenpoint.html
PA,Sayre,2756 Elmira St,ALDI,2/4/2019,Snapshot,NORTHEASTERN PA,,https://www.marketreportblog.com/2019/02/snapshot-aldi-sayre-pa.html
PA,Clarks Summit,1020 Northern Blvd,Weis Markets,2/5/2019,Snapshot,NORTHEASTERN PA,,https://www.marketreportblog.com/2019/02/snapshot-weis-markets-clarks-summit-pa.html
PA,Wyalusing,41841 US-6,Connie's Supermarket,2/6/2019,Snapshot,NORTHEASTERN PA,,https://www.marketreportblog.com/2019/02/snapshot-connies-supermarket-wyalusing.html
PA,Troy,684 Elmira St,Tops Friendly Markets,2/7/2019,Snapshot,NORTHEASTERN PA,,https://www.marketreportblog.com/2019/02/snapshot-tops-market-troy-pa.html
PA,Mount Pocono,89 PA-940,ShopRite,2/8/2019,Snapshot,NORTHEASTERN PA,,https://www.marketreportblog.com/2019/02/snapshot-shoprite-mount-pocono-pa.html
NJ,New Providence,598 Central Ave,Central Farmers Market,2/11/2019,Tour,NORTHERN NJ,,https://www.marketreportblog.com/2019/02/tour-central-farmers-market-new.html
NJ,Livingston,577 W Mt Pleasant Ave,Route 10 Farmers Market,2/12/2019,Snapshot,NORTHERN NJ,,https://www.marketreportblog.com/2019/02/snapshot-route-10-farmers-market.html
NJ,Brick,34 Lanes Mill Rd,91 Farmers Market,2/13/2019,Snapshot,SOUTHERN NJ,,https://www.marketreportblog.com/2019/02/snapshot-91-farmers-market-brick-nj.html
NJ,Rockaway,353 US-46,Rockaway Farmers Market,2/14/2019,Snapshot,NORTHERN NJ,,https://www.marketreportblog.com/2019/02/snapshot-rockaway-farmers-market.html
NY,Manhattan,476 9th Ave,Stiles Farmers Market,2/15/2019,Snapshot,NYC,,https://www.marketreportblog.com/2019/02/snapshot-stiles-farmers-market-midtown.html
NJ,New Providence,1260 Springfield Ave,ACME Markets,2/18/2019,Tour,NORTHERN NJ,,https://www.marketreportblog.com/2019/02/tour-acme-markets-new-providence-nj.html
NJ,Summit,23 Summit Ave,A&P (former),2/19/2019,Snapshot,NORTHERN NJ,,https://www.marketreportblog.com/2019/02/snapshot-former-summit-nj.html
PA,Towanda,387 York Ave,Hurley's Fresh Market,2/20/2019,Snapshot,NORTHEASTERN PA,,https://www.marketreportblog.com/2019/02/snapshot-hurleys-iga-towanda-pa.html
NJ,Kearny,180 Schuyler Ave,Seabra Foods,2/21/2019,Tour,NORTHERN NJ,,https://www.marketreportblog.com/2019/02/tour-seabra-foods-kearny-nj.html
NJ,Oakland,332 Ramapo Valley Rd,A&P (former),2/22/2019,Snapshot,NORTHERN NJ,,https://www.marketreportblog.com/2019/02/snapshot-former-oakland-nj.html
NY,Bath,380 W Washington St,ACME Markets (former),2/25/2019,Look Inside,FINGER LAKES,,https://www.marketreportblog.com/2019/02/look-inside-former-acme-bath-ny.html
NY,Canandaigua,212 S Main St,ACME Markets (former),2/26/2019,Snapshot,FINGER LAKES,,https://www.marketreportblog.com/2019/02/snapshot-former-acme-canandaigua-ny.html
PA,Troy,101 Elmira St,ACME Markets (former),2/27/2019,Snapshot,NORTHEASTERN PA,,https://www.marketreportblog.com/2019/02/snapshot-former-acme-troy-pa.html
NJ,Union City,2010 John F. Kennedy Blvd,ACME Markets (former),2/28/2019,Snapshot,NORTHERN NJ,,https://www.marketreportblog.com/2019/02/snapshot-former-acme-union-city-nj.html
NJ,Newark,281-295 Ferry St,ACME Markets,3/1/2019,Look Inside,NORTHERN NJ,,https://www.marketreportblog.com/2019/03/look-inside-acme-newark-nj.html
VA,Harrisonburg,2255 S Main St,SuperFresh (former),3/3/2019,Snapshot,VIRGINIA,VIRGINIA,https://www.marketreportblog.com/2019/03/snapshot-former-superfresh-harrisonburg.html
VA,Fort Defiance,1785 Lee Hwy,Taylor's Grocery,3/4/2019,Snapshot,VIRGINIA,VIRGINIA,https://www.marketreportblog.com/2019/03/snapshot-taylors-grocery-fort-defiance.html
VA,Staunton,7 S New St,Cranberry's Grocery & Eatery,3/5/2019,Look Inside,VIRGINIA,VIRGINIA,https://www.marketreportblog.com/2019/03/look-inside-cranberrys-grocery-eatery.html
VA,Charlottesville,400 E Market St,Market Street Market,3/6/2019,Snapshot,VIRGINIA,VIRGINIA,https://www.marketreportblog.com/2019/03/snapshot-market-street-market.html
VA,Lexington,422 E Nelson St,Kroger,3/7/2019,Tour,VIRGINIA,VIRGINIA,https://www.marketreportblog.com/2019/03/tour-kroger-lexington-va.html
VA,Lexington,84 E Midland Trl,Food Lion,3/8/2019,Tour,VIRGINIA,VIRGINIA,https://www.marketreportblog.com/2019/03/tour-food-lion-lexington-va.html
VA,Buena Vista,2150 E Midland Trl,Food Lion,3/9/2019,Snapshot,VIRGINIA,VIRGINIA,https://www.marketreportblog.com/2019/03/snapshot-food-lion-buena-vista-va.html
VA,Buena Vista,2265 Beech Ave,The Amish Cupboard,3/10/2019,Look Inside,VIRGINIA,VIRGINIA,https://www.marketreportblog.com/2019/03/look-inside-amish-cupboard-buena-vista.html
VA,Buena Vista,174 E 29th St,Sheltman's Gas & Groceries,3/11/2019,Snapshot,VIRGINIA,VIRGINIA,https://www.marketreportblog.com/2019/03/snapshot-sheltmans-gas-groceries-buena.html
VA,Buena Vista,1036 Magnolia Ave,Mays Grocery,3/12/2019,Snapshot,VIRGINIA,VIRGINIA,https://www.marketreportblog.com/2019/03/snapshot-mays-grocery-buena-vista-va.html
VA,Troutville,5414 Lee Hwy,Troutville Grocery & Goods,3/13/2019,Snapshot,VIRGINIA,VIRGINIA,https://www.marketreportblog.com/2019/03/snapshot-troutville-grocery-goods.html
VA,Roanoke,1 Market Sq SE,Roanoke Natural Foods Co-Op,3/14/2019,Snapshot,VIRGINIA,VIRGINIA,https://www.marketreportblog.com/2019/03/snapshot-roanoke-natural-foods-co-op.html
VA,Roanoke,32 Market Sq SE,Roanoke City Market,3/15/2019,Look Inside,VIRGINIA,VIRGINIA,https://www.marketreportblog.com/2019/03/look-inside-roanoke-city-market-roanoke.html
NJ,Livingston,277 Eisenhower Pkwy,ALDI,3/16/2019,Revisit,NORTHERN NJ,,https://www.marketreportblog.com/2019/03/revisit-aldi-livingston-nj.html
NJ,Linden,1601 W Edgar Rd,Foodmart International (former),3/17/2019,Look Inside,CENTRAL NJ,,https://www.marketreportblog.com/2019/03/look-inside-former-foodmart.html
NJ,Bridgewater,724 US-202,Wegmans,3/18/2019,Tour,CENTRAL NJ,,https://www.marketreportblog.com/2019/03/tour-wegmans-bridgewater-nj.html
NJ,Newark,323 Mt Prospect Ave,Food Fair Fresh Market,3/19/2019,Snapshot,NORTHERN NJ,,https://www.marketreportblog.com/2019/03/snapshot-parade-clearance-at-food-fair.html
NJ,Newark,219 Chestnut St,Seabra Foods,3/20/2019,Tour,NORTHERN NJ,,https://www.marketreportblog.com/2019/03/tour-seabra-foods-chestnut-st-newark-nj.html
NJ,Newark,260 Lafayette St,A Seabra Foods,3/21/2019,Look Inside,NORTHERN NJ,,https://www.marketreportblog.com/2019/03/look-inside-seabras-market-lafayette-st.html
PA,Allentown,1401 W Allen St,Ahart's Market,3/22/2019,Tour,LEHIGH VALLEY,,https://www.marketreportblog.com/2019/03/tour-aharts-market-allentown-pa.html
NJ,West Orange,629 Eagle Rock Ave,Aron's West Orange,3/23/2019,Revisit,NORTHERN NJ,,https://www.marketreportblog.com/2019/03/revisit-arons-west-orange-nj.html
PA,Connellsville,119 Memorial Blvd,Shop 'n Save,3/23/2019,Snapshot,LAUREL HIGHLANDS,,https://www.marketreportblog.com/2019/03/snapshot-shop-n-save-connellsville-pa.html
NY,Port Chester,155 Irving Ave,Compare Foods,3/24/2019,Look Inside,ROCKLAND / WESTCHESTER,,https://www.marketreportblog.com/2019/03/look-inside-compare-foods-port-chester.html
NJ,West Orange,1 Rooney Cir,ShopRite,3/24/2019,Revisit,NORTHERN NJ,,https://www.marketreportblog.com/2019/03/revisit-shoprite-west-orange-nj.html?m=0
NY,Woodstock,75 Mill Hill Rd,Sunflower Foods,3/25/2019,Snapshot,HUDSON VALLEY,,https://www.marketreportblog.com/2019/03/snapshot-sunflower-natural-foods-market.html
NY,Tarrytown,350 S Broadway,Harvest Field Market,3/26/2019,Snapshot,ROCKLAND / WESTCHESTER,,https://www.marketreportblog.com/2019/03/snapshot-harvest-field-market-tarrytown.html
NJ,Ortley Beach,5 Ortley Plz,ACME Markets,3/27/2019,Snapshot,SOUTHERN NJ,,https://www.marketreportblog.com/2019/03/snapshot-acme-market-ortley-beach-nj.html
PA,Easton,3745 Nicholas St,Redner's Warehouse Markets,3/28/2019,Tour,LEHIGH VALLEY,,https://www.marketreportblog.com/2019/03/tour-redners-warehouse-markets-easton-pa.html
PA,Hamburg,552 State St,Weis Markets,3/29/2019,Tour,LEHIGH VALLEY,,https://www.marketreportblog.com/2019/03/tour-weis-markets-hamburg-pa.html
NY,Brooklyn,994 Myrtle Ave,Junior's Food Outlet (former),3/30/2019,Snapshot,NYC,,https://www.marketreportblog.com/2019/03/snapshot-juniors-food-outlet-former.html
NY,Beacon,268 Main St,Key Food Marketplace,3/31/2019,Tour,HUDSON VALLEY,,https://www.marketreportblog.com/2019/03/tour-key-food-marketplace-beacon-ny.html
NY,Haverstraw,212 US-9W,9W Farm,4/1/2019,Snapshot,HUDSON VALLEY,,https://www.marketreportblog.com/2019/04/snapshot-9w-farm-haverstraw-ny.html
NY,Haverstraw,210 US-9W,Ideal Food Basket,4/2/2019,Snapshot,HUDSON VALLEY,,https://www.marketreportblog.com/2019/04/snapshot-ideal-food-basket-haverstraw-ny.html
NY,West Haverstraw,7 Samsondale Plz,Stop & Shop,4/3/2019,Snapshot,HUDSON VALLEY,,https://www.marketreportblog.com/2019/04/snapshot-stop-shop-west-haverstraw-ny.html
NY,Highland,3650 US-9W,Hannaford,4/4/2019,Snapshot,HUDSON VALLEY,,https://www.marketreportblog.com/2019/04/snapshot-hannaford-highland-ny.html
NY,Peekskill,1049 Park St,CTown Supermarkets,4/5/2019,Tour,HUDSON VALLEY,,https://www.marketreportblog.com/2020/10/update-ctown-supermarkets-peekskill-ny.html
NY,Peekskill,5 Bank St,Royal Fresh Market,4/5/2019,Snapshot,HUDSON VALLEY,,https://www.marketreportblog.com/2019/04/snapshot-royal-fresh-market-peekskill-ny.html
NY,Woodstock,60 Mill Hill Rd,Grand Union (former),4/6/2019,Snapshot,HUDSON VALLEY,,https://www.marketreportblog.com/2019/04/snapshot-grand-union-former-woodstock-ny.html
MD,Aberdeen,949 Beards Mill Rd,ShopRite,4/7/2019,Snapshot,GREATER BALTIMORE,,https://www.marketreportblog.com/2019/04/snapshot-shoprite-aberdeen-md.html
NJ,Bloomfield,1409 Broad St,ShopRite,4/8/2019,Tour,NORTHERN NJ,,https://www.marketreportblog.com/2019/04/tour-shoprite-bloomfield-nj.html
NJ,Byram,90-80 US-206 N,ShopRite,4/9/2019,Tour,NORTHERN NJ,,https://www.marketreportblog.com/2019/04/tour-shoprite-byram-nj.html
NJ,Fairlawn,1717 River Rd,ShopRite,4/10/2019,Snapshot,NORTHERN NJ,,https://www.marketreportblog.com/2021/02/tour-shoprite-fair-lawn-nj.html
NJ,Hillside,370 US-22,ShopRite,4/11/2019,Tour,NORTHERN NJ,,https://www.marketreportblog.com/2019/04/tour-shoprite-hillside-nj.html
NJ,Parsippany,808 US-46,ShopRite,4/12/2019,Tour,NORTHERN NJ,,https://www.marketreportblog.com/2019/04/tour-shoprite-parsippany-nj.html
PA,Bethlehem,4701 Freemansburg Ave,ShopRite,4/13/2019,Tour,LEHIGH VALLEY,,https://www.marketreportblog.com/2019/04/tour-shoprite-bethlehem-pa.html
NJ,Elizabeth,639 Bayway Ave,Bayway World of Liquors,4/14/2019,Snapshot,NORTHERN NJ,,https://www.marketreportblog.com/2019/04/snapshot-former-supermarket-bayway.html
NJ,Roseland,171 Eagle Rock Ave,Former Supermarket,4/15/2019,Snapshot,NORTHERN NJ,,https://www.marketreportblog.com/2019/04/snapshot-former-supermarkets-roseland-nj.html
NY,Bath,121 Liberty St,Former Supermarket,4/16/2019,Snapshot,FINGER LAKES,,https://www.marketreportblog.com/2019/04/snapshot-former-supermarket-bath-ny.html?m=0
NY,Corning,207 W Pulteney St,Former Supermarket,4/17/2019,Snapshot,FINGER LAKES,,https://www.marketreportblog.com/2019/04/snapshot-former-supermarket-corning-ny.html
NY,Rochester,622 Park Ave,Former Supermarket,4/18/2019,Snapshot,FINGER LAKES,,https://www.marketreportblog.com/2019/04/snapshot-former-supermarket-rochester-ny.html
NJ,Union,2661 Morris Ave,ShopRite (former),4/19/2019,Snapshot,NORTHERN NJ,,https://www.marketreportblog.com/2019/04/snapshot-former-shoprite-union-nj.html
NY,Manhattan,515 W 125th St,A&P (former),4/20/2019,Snapshot,NYC,,https://www.marketreportblog.com/2019/04/snapshot-former-harlem.html
PA,Confluence,606 Logan Pl,Diamond Produce,4/21/2019,Snapshot,LAUREL HIGHLANDS,,https://www.marketreportblog.com/2019/04/snapshot-diamond-produce-confluence-pa.html
NJ,Fairview,321 Anderson Ave,Kikos Supermarket,4/22/2019,Tour,NORTHERN NJ,,https://www.marketreportblog.com/2019/04/tour-kikos-supermarket-fairview-nj.html
NJ,Holmdel,2130 NJ-35,Best Market,4/23/2019,Look Inside,CENTRAL NJ,,https://www.marketreportblog.com/2019/04/look-inside-best-market-holmdel-nj.html
WV,Inwood,4803 Gerrardstown Rd,Food Lion,4/24/2019,Snapshot,WEST VIRGINIA,,https://www.marketreportblog.com/2019/04/snapshot-food-lion-inwood-wv.html
NJ,Bayonne,1033 Broadway,Bayonne Fresh Market,4/25/2019,Snapshot,NORTHERN NJ,,https://www.marketreportblog.com/2019/04/snapshot-bayonne-fresh-market-bayonne-nj.html
NJ,Elizabeth,50 1st St,Superfood Marketplace,4/26/2019,Snapshot,NORTHERN NJ,,https://www.marketreportblog.com/2019/04/snapshot-superfood-marketplace.html
NJ,Bloomfield,12 Arlington Ave,Food Fair (former),4/28/2019,Snapshot,NORTHERN NJ,,https://www.marketreportblog.com/2019/04/snapshot-former-food-fair-bloomfield-nj.html
CT,Litchfield,55 Village Green Dr,Stop & Shop,4/29/2019,Tour,CONNECTICUT,,https://www.marketreportblog.com/2019/04/tour-stop-shop-litchfield-ct.html
CT,Kent,27 Kent Green Blvd,Davis IGA,4/30/2019,Look Inside,CONNECTICUT,,https://www.marketreportblog.com/2019/04/look-inside-davis-iga-kent-ct.html
CT,Kent,12 N Main St,J.P. Gifford,5/1/2019,Snapshot,CONNECTICUT,,https://www.marketreportblog.com/2019/05/snapshot-jp-gifford-kent-ct.html
CT,Westport,605 E Post Rd,The Fresh Market,5/2/2019,Snapshot,CONNECTICUT,,https://www.marketreportblog.com/2019/05/snapshot-fresh-market-westport-ct.html
CT,New Haven,325 Ferry St,CTown Supermarkets,5/3/2019,Tour,CONNECTICUT,,https://www.marketreportblog.com/2019/05/tour-ctown-supermarkets-ferry-st-new.html
NJ,Franklin Lakes,813 Franklin Lake Rd,Market Basket,5/4/2019,Snapshot,NORTHERN NJ,,https://www.marketreportblog.com/2019/05/snapshot-market-basket-franklin-lakes-nj.html
NJ,Montclair,650 Valley Rd,Kings Food Markets,5/5/2019,Snapshot,NORTHERN NJ,,https://www.marketreportblog.com/2021/03/tour-kings-food-markets-montclair-nj.html
MD,Boonsboro,700 Chase 6 Blvd,Weis Markets,5/6/2019,Tour,GREATER HARRISBURG,,https://www.marketreportblog.com/2019/05/tour-weis-markets-boonsboro-md.html
NJ,Parsippany,142 US-46,Khan Market,5/7/2019,Snapshot,NORTHERN NJ,,https://www.marketreportblog.com/2019/05/snapshot-khan-market-parsippany-nj.html
NJ,Newark,810 N 6th St,Super Supermarket,5/8/2019,Snapshot,NORTHERN NJ,,https://www.marketreportblog.com/2019/05/snapshot-super-supermarket-newark-nj.html
NJ,Bloomfield,67 Belleville Ave,East West Foodmart,5/9/2019,Snapshot,NORTHERN NJ,,https://www.marketreportblog.com/2019/05/snapshot-east-west-market-bloomfield-nj.html
MD,Takoma Park,7609 New Hampshire Ave,ALDI,5/10/2019,Snapshot,GREATER WASHINGTON DC,,https://www.marketreportblog.com/2019/05/snapshot-aldi-takoma-park-md.html
DC,Washington,1747 Columbia Rd NW,Safeway,5/11/2019,Snapshot,GREATER WASHINGTON DC,,https://www.marketreportblog.com/2019/05/snapshot-safeway-columbia-rd-washington.html
NS,Halifax,1515 Dresden Row,Pete's Fine Foods,5/27/2019,Tour,NOVA SCOTIA,,https://www.marketreportblog.com/2019/05/tour-petes-fine-foods-halifax-ns.html
NS,Canning,9830 Main St,ValuFoods,5/28/2019,Tour,NOVA SCOTIA,,https://www.marketreportblog.com/2019/05/tour-valufoods-canning-ns.html
NS,Wolfville,396 Main St,Your Independent Grocer,5/29/2019,Tour,NOVA SCOTIA,,https://www.marketreportblog.com/2019/05/tour-your-independent-grocer-wolfville.html?m=0
NS,Truro,46 Elm St,Atlantic Superstore,5/30/2019,Tour,NOVA SCOTIA,,https://www.marketreportblog.com/2019/05/tour-atlantic-superstore-truro-ns.html
NS,Coldbrook,6637 NS-1,Foodland,5/31/2019,Tour,NOVA SCOTIA,,https://www.marketreportblog.com/2019/05/tour-foodland-cold-brook-ns.html
NY,Bronx,574 W 235th St,Riverdale Farm,6/1/2019,Look Inside,NYC,NORTHWESTERN BRONX,https://www.marketreportblog.com/2019/06/look-inside-riverdale-farm-riverdale.html
NY,Bronx,540 W 235th St,Key Food Supermarkets,6/2/2019,Tour,NYC,NORTHWESTERN BRONX,https://www.marketreportblog.com/2019/06/tour-key-food-riverdale-south.html
NY,Bronx,210 W 238th St,Vargas Deli Grocery,6/3/2019,Snapshot,NYC,NORTHWESTERN BRONX,https://www.marketreportblog.com/2019/06/snapshot-vargas-deli-grocery-kingsbridge.html
NY,Bronx,5716 Broadway,Stop & Shop,6/5/2019,Tour,NYC,NORTHWESTERN BRONX,https://www.marketreportblog.com/2019/06/tour-stop-shop-kingsbridge.html
NY,Bronx,5665 Broadway,Garden Gourmet Market,6/6/2019,Tour,NYC,NORTHWESTERN BRONX,https://www.marketreportblog.com/2019/06/tour-garden-gourmet-market-kingsbridge.html
NY,Bronx,5590 Broadway,Apple Tree Fruits & Vegetables,6/7/2019,Snapshot,NYC,NORTHWESTERN BRONX,https://www.marketreportblog.com/2019/06/snapshot-apple-tree-market-kingsbridge.html
NY,Bronx,5587 Broadway,Riverdale Meat Market,6/8/2019,Snapshot,NYC,NORTHWESTERN BRONX,https://www.marketreportblog.com/2019/06/snapshot-riverdale-meat-market.html
NY,Bronx,184 W 231st St,Bravo Supermarkets,6/9/2019,Tour,NYC,NORTHWESTERN BRONX,https://www.marketreportblog.com/2019/06/tour-bravo-kingsbridge.html
NY,Bronx,5555 Broadway,Foodtown,6/10/2019,Tour,NYC,NORTHWESTERN BRONX,https://www.marketreportblog.com/2019/06/tour-foodtown-kingsbridge.html
NY,Bronx,5249 Broadway,CTown Supermarkets,6/12/2019,Tour,NYC,NORTHWESTERN BRONX,https://www.marketreportblog.com/2019/06/tour-ctown-supermarkets-marble-hill.html
NY,Bronx,2891 Sedgwick Ave,CTown Supermarkets,6/14/2019,Tour,NYC,NORTHWESTERN BRONX,https://www.marketreportblog.com/2019/06/tour-ctown-supermarkets-kingsbridge.html
NY,Bronx,125 W Kingsbridge Rd,Associated Supermarkets,6/15/2019,Tour,NYC,NORTHWESTERN BRONX,https://www.marketreportblog.com/2019/06/tour-associated-supermarket-fordham.html
NY,Bronx,82 W Kingsbridge Rd,Food Universe Marketplace,6/18/2019,Tour,NYC,NORTHWESTERN BRONX,https://www.marketreportblog.com/2019/06/look-inside-antillana-meat-market.html
NY,Bronx,123 W Kingsbridge Rd,Antillana Meat Market,6/19/2019,Tour,NYC,NORTHWESTERN BRONX,https://www.marketreportblog.com/2019/06/food-universe-marketplace-kingsbridge.html
NY,Bronx,124 W Fordham Rd,Antillana SuperFood,6/19/2019,Tour,NYC,NORTHWESTERN BRONX,https://www.marketreportblog.com/2019/06/tour-antillana-superfood-fordham-heights.html
NY,Bronx,2358 University Ave,Food Universe Marketplace,6/21/2019,Tour,NYC,NORTHWESTERN BRONX,https://www.marketreportblog.com/2019/06/tour-food-universe-marketplace-fordham.html
NY,Bronx,57 W Fordham Rd,Sal's Fruit & Vegetables,6/23/2019,Look Inside,NYC,NORTHWESTERN BRONX,https://www.marketreportblog.com/2019/06/look-inside-sals-fruit-vegetables.html
NY,Bronx,24 W Fordham Rd,Food Dynasty Supermarket,6/24/2019,Tour,NYC,NORTHWESTERN BRONX,https://www.marketreportblog.com/2019/06/tour-food-dynasty-fordham-center.html
NY,Bronx,60 W 183rd St,Food Universe Marketplace,6/25/2019,Tour,NYC,NORTHWESTERN BRONX,https://www.marketreportblog.com/2019/06/tour-food-universe-marketplace-fordham_25.html
NY,Bronx,35 W 183rd St,Lindo Supermarket,6/26/2019,Snapshot,NYC,NORTHWESTERN BRONX,https://www.marketreportblog.com/2019/06/snapshot-lindo-supermarket-fordham.html
NY,Bronx,19 W 183rd St,Bronx Marketplace,6/27/2019,Snapshot,NYC,NORTHWESTERN BRONX,https://www.marketreportblog.com/2019/06/snapshot-bronx-marketplace-fordham.html
NY,Manhattan,15 W End Ave,Morton Williams,6/27/2019,Snapshot,NYC,,https://www.marketreportblog.com/2019/06/snapshot-morton-williams-lincoln-square.html
NY,Bronx,14 W 183rd St,California Fruit & Vegetables,6/28/2019,Snapshot,NYC,NORTHWESTERN BRONX,https://www.marketreportblog.com/2019/06/snapshot-california-fruit-vegetables.html
NY,Bronx,2262 Jerome Ave,Pioneer Supermarkets,6/29/2019,Tour,NYC,NORTHWESTERN BRONX,https://www.marketreportblog.com/2019/06/tour-pioneer-supermarket-fordham.html
NY,Bronx,51 E 183rd St,V&J Mini Market,6/30/2019,Snapshot,NYC,NORTHWESTERN BRONX,https://www.marketreportblog.com/2019/06/snapshot-v-mini-market-fordham-heights.html
NY,Bronx,2276 Creston Ave,CTown Supermarkets,7/1/2019,Tour,NYC,NORTHWESTERN BRONX,https://www.marketreportblog.com/2019/07/tour-ctown-supermarkets-fordham-heights.html
NY,Bronx,2285 Grand Concourse,Bravo Supermarkets,7/2/2019,Tour,NYC,NORTHWESTERN BRONX,https://www.marketreportblog.com/2019/07/tour-bravo-supermarkets-fordham-heights.html
NY,Bronx,2400 Ryer Ave,Pioneer Supermarkets,7/3/2019,Tour,NYC,NORTHWESTERN BRONX,https://www.marketreportblog.com/2019/07/tour-pioneer-supermarket-fordham.html
NY,Bronx,2477 Valentine Ave,City Fresh Market,7/5/2019,Tour,NYC,NORTHWESTERN BRONX,https://www.marketreportblog.com/2019/07/tour-city-fresh-market-fordham-center.html
NY,Bronx,239 E Kingsbridge Rd,Makkah Medina Supermarket,7/6/2019,Snapshot,NYC,NORTHWESTERN BRONX,https://www.marketreportblog.com/2019/07/snapshot-makkah-medina-supermarket.html
NY,Bronx,2660 Valentine Ave,Apple Valley Supermarket,7/7/2019,Snapshot,NYC,NORTHWESTERN BRONX,https://www.marketreportblog.com/2019/07/snapshot-apple-valley-supermarket.html
NY,Bronx,75 E Kingsbridge Rd,C Kim's Fruit & Vegetables,7/9/2019,Snapshot,NYC,NORTHWESTERN BRONX,https://www.marketreportblog.com/2019/07/snapshot-c-kims-fruit-vegetable-fordham.html
NY,Bronx,29 E Kingsbridge Rd,New Kingsbridge Market,7/11/2019,Snapshot,NYC,NORTHWESTERN BRONX,https://www.marketreportblog.com/2019/07/snapshot-new-kingsbridge-market-fordham.html
NY,Bronx,19 E Kingsbridge Rd,El Rancho Deli Grocery,7/12/2019,Snapshot,NYC,NORTHWESTERN BRONX,https://www.marketreportblog.com/2019/07/snapshot-el-rancho-deli-grocery-fordham.html
NY,Bronx,15 E Kingsbridge Rd,Morton Williams,7/13/2019,Tour,NYC,NORTHWESTERN BRONX,https://www.marketreportblog.com/2019/07/tour-morton-williams-fordham-manor.html
NY,Bronx,101 E 196th St,Mango Grocery & Meat,7/14/2019,Snapshot,NYC,NORTHWESTERN BRONX,https://www.marketreportblog.com/2019/07/snapshot-mango-grocery-meat-market.html
NY,Bronx,30 W 198th St,CTown Supermarkets,7/15/2019,Tour,NYC,NORTHWESTERN BRONX,https://www.marketreportblog.com/2019/07/tour-ctown-supermarkets-bedford-park.html
NY,Bronx,3131 Grand Concourse,Fine Fare Supermarkets,7/16/2019,Tour,NYC,NORTHWESTERN BRONX,https://www.marketreportblog.com/2019/07/tour-fine-fare-bedford-park.html
NY,Bronx,264 E 204th St,CTown Supermarkets,7/17/2019,Tour,NYC,NORTHWESTERN BRONX,https://www.marketreportblog.com/2019/07/tour-ctown-supermarkets-bedford-park_17.html
NY,Bronx,3386 Jerome Ave,Big G Deli Farm Market,7/19/2019,Snapshot,NYC,NORTHWESTERN BRONX,https://www.marketreportblog.com/2019/07/snapshot-big-g-deli-farm-market-norwood.html
NY,Bronx,3425 Jerome Ave,Jerome Meat Market,7/20/2019,Snapshot,NYC,NORTHWESTERN BRONX,https://www.marketreportblog.com/2019/07/snapshot-jerome-meat-market-norwood.html
NY,Bronx,3430 Jerome Ave,Sagal Food & Meat Market,7/21/2019,Snapshot,NYC,NORTHWESTERN BRONX,https://www.marketreportblog.com/2019/07/snapshot-sagal-food-norwood.html
NY,Bronx,3515 Jerome Ave,Key Food Supermarkets,7/22/2019,Tour,NYC,NORTHWESTERN BRONX,https://www.marketreportblog.com/2019/07/tour-key-food-norwood.html
NY,Bronx,3494 Jerome Ave,Tropical Dairy Corp,7/23/2019,Snapshot,NYC,NORTHWESTERN BRONX,https://www.marketreportblog.com/2019/07/snapshot-tropical-dairy-corp-norwood.html
